sample,sequence,sequence_labels_csv
all_ENSG00000129673,ENSG00000129673,
all_ENSG00000173535,ENSG00000173535,
all_ENSG00000175485,ENSG00000175485,
all_ENSG00000100053,ENSG00000100053,
all_ENSG00000100122,ENSG00000100122,
all_ENSG00000120563,ENSG00000120563,
all_ENSG00000127377,ENSG00000127377,
all_ENSG00000151033,ENSG00000151033,
all_ENSG00000163499,ENSG00000163499,
all_ENSG00000166926,ENSG00000166926,
all_ENSG00000171501,ENSG00000171501,
all_ENSG00000182187,ENSG00000182187,
all_ENSG00000196431,ENSG00000196431,
all_ENSG00000204923,ENSG00000204923,
all_ENSG00000249481,ENSG00000249481,
all_ENSG00000283324,ENSG00000283324,
all_ENSG00000284194,ENSG00000284194,
all_ENSG00000137078,ENSG00000137078,
all_ENSG00000147588,ENSG00000147588,
all_ENSG00000180425,ENSG00000180425,
all_ENSG00000203733,ENSG00000203733,
all_ENSG00000276240,ENSG00000276240,
all_ENSG00000258388,ENSG00000258388,
all_ENSG00000006015,ENSG00000006015,
all_ENSG00000103355,ENSG00000103355,
all_ENSG00000138755,ENSG00000138755,
all_ENSG00000141574,ENSG00000141574,
all_ENSG00000147223,ENSG00000147223,
all_ENSG00000163377,ENSG00000163377,
all_ENSG00000174225,ENSG00000174225,
all_ENSG00000174448,ENSG00000174448,
all_ENSG00000178279,ENSG00000178279,
all_ENSG00000182853,ENSG00000182853,
all_ENSG00000188817,ENSG00000188817,
all_ENSG00000189064,ENSG00000189064,
all_ENSG00000198553,ENSG00000198553,
all_ENSG00000205777,ENSG00000205777,
all_ENSG00000215269,ENSG00000215269,
all_ENSG00000216649,ENSG00000216649,
all_ENSG00000224659,ENSG00000224659,
all_ENSG00000224902,ENSG00000224902,
all_ENSG00000227488,ENSG00000227488,
all_ENSG00000236362,ENSG00000236362,
all_ENSG00000237671,ENSG00000237671,
all_ENSG00000269190,ENSG00000269190,
all_ENSG00000274274,ENSG00000274274,
all_ENSG00000150244,ENSG00000150244,
all_ENSG00000011638,ENSG00000011638,
all_ENSG00000110245,ENSG00000110245,
all_ENSG00000115226,ENSG00000115226,
all_ENSG00000127529,ENSG00000127529,
all_ENSG00000143954,ENSG00000143954,
all_ENSG00000149021,ENSG00000149021,
all_ENSG00000165507,ENSG00000165507,
all_ENSG00000165583,ENSG00000165583,
all_ENSG00000165584,ENSG00000165584,
all_ENSG00000170430,ENSG00000170430,
all_ENSG00000172016,ENSG00000172016,
all_ENSG00000172023,ENSG00000172023,
all_ENSG00000173762,ENSG00000173762,
all_ENSG00000175877,ENSG00000175877,
all_ENSG00000177414,ENSG00000177414,
all_ENSG00000184995,ENSG00000184995,
all_ENSG00000187754,ENSG00000187754,
all_ENSG00000189037,ENSG00000189037,
all_ENSG00000196754,ENSG00000196754,
all_ENSG00000204065,ENSG00000204065,
all_ENSG00000204421,ENSG00000204421,
all_ENSG00000213927,ENSG00000213927,
all_ENSG00000215274,ENSG00000215274,
all_ENSG00000230561,ENSG00000230561,
all_ENSG00000237524,ENSG00000237524,
all_ENSG00000239605,ENSG00000239605,
all_ENSG00000241476,ENSG00000241476,
all_ENSG00000268009,ENSG00000268009,
all_ENSG00000268447,ENSG00000268447,
all_ENSG00000269791,ENSG00000269791,
