sample,sequence,sequence_labels_csv
passive_active_gleaning_ENSG00000164299,ENSG00000164299,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000165182,ENSG00000165182,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000165507,ENSG00000165507,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000165583,ENSG00000165583,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000165584,ENSG00000165584,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000167536,ENSG00000167536,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000167543,ENSG00000167543,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000168005,ENSG00000168005,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000170289,ENSG00000170289,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000170430,ENSG00000170430,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000172016,ENSG00000172016,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000172023,ENSG00000172023,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000172771,ENSG00000172771,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000173762,ENSG00000173762,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000174448,ENSG00000174448,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000175877,ENSG00000175877,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000177414,ENSG00000177414,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000177943,ENSG00000177943,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000182853,ENSG00000182853,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000184995,ENSG00000184995,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000185306,ENSG00000185306,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000187754,ENSG00000187754,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000188817,ENSG00000188817,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000189037,ENSG00000189037,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000189064,ENSG00000189064,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000189108,ENSG00000189108,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000196678,ENSG00000196678,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000196754,ENSG00000196754,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000197444,ENSG00000197444,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000197586,ENSG00000197586,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000197798,ENSG00000197798,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000204065,ENSG00000204065,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000204385,ENSG00000204385,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000204421,ENSG00000204421,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000204498,ENSG00000204498,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000205126,ENSG00000205126,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000205777,ENSG00000205777,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000213927,ENSG00000213927,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000215269,ENSG00000215269,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000215274,ENSG00000215274,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000215529,ENSG00000215529,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000216649,ENSG00000216649,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000224659,ENSG00000224659,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000224902,ENSG00000224902,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000227488,ENSG00000227488,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000230561,ENSG00000230561,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000236362,ENSG00000236362,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000237524,ENSG00000237524,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000237671,ENSG00000237671,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000239605,ENSG00000239605,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000241476,ENSG00000241476,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000268009,ENSG00000268009,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000268447,ENSG00000268447,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000269791,ENSG00000269791,resources/sample_labels/passive_active_gleaning_labels.csv
passive_active_gleaning_ENSG00000274274,ENSG00000274274,resources/sample_labels/passive_active_gleaning_labels.csv
all_gleaning_ENSG00000182898,ENSG00000182898,resources/sample_labels/all_gleaning_labels.csv
clicking_ENSG00000000457,ENSG00000000457,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000005001,ENSG00000005001,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000019582,ENSG00000019582,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000034971,ENSG00000034971,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000082293,ENSG00000082293,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000087152,ENSG00000087152,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000099812,ENSG00000099812,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000099991,ENSG00000099991,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000100116,ENSG00000100116,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000100652,ENSG00000100652,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000106268,ENSG00000106268,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000108602,ENSG00000108602,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000109576,ENSG00000109576,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000109667,ENSG00000109667,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000113396,ENSG00000113396,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000116996,ENSG00000116996,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000117009,ENSG00000117009,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000118514,ENSG00000118514,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000119917,ENSG00000119917,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000123064,ENSG00000123064,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000124812,ENSG00000124812,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000126106,ENSG00000126106,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000129103,ENSG00000129103,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000130173,ENSG00000130173,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000132855,ENSG00000132855,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000134830,ENSG00000134830,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000135437,ENSG00000135437,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000137310,ENSG00000137310,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000138075,ENSG00000138075,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000139344,ENSG00000139344,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000140043,ENSG00000140043,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000142484,ENSG00000142484,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000143353,ENSG00000143353,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000143554,ENSG00000143554,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000143921,ENSG00000143921,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000145428,ENSG00000145428,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000147256,ENSG00000147256,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000151790,ENSG00000151790,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000152292,ENSG00000152292,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000153165,ENSG00000153165,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000154080,ENSG00000154080,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000158865,ENSG00000158865,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000159650,ENSG00000159650,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000160181,ENSG00000160181,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000160282,ENSG00000160282,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000162739,ENSG00000162739,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000162882,ENSG00000162882,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000163216,ENSG00000163216,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000164808,ENSG00000164808,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000165675,ENSG00000165675,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000167094,ENSG00000167094,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000167780,ENSG00000167780,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000168515,ENSG00000168515,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000170231,ENSG00000170231,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000170262,ENSG00000170262,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000171004,ENSG00000171004,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000171201,ENSG00000171201,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000171509,ENSG00000171509,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000171931,ENSG00000171931,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000172171,ENSG00000172171,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000174611,ENSG00000174611,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000174992,ENSG00000174992,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000175664,ENSG00000175664,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000178084,ENSG00000178084,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000179059,ENSG00000179059,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000179532,ENSG00000179532,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000183077,ENSG00000183077,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000183495,ENSG00000183495,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000184860,ENSG00000184860,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000187021,ENSG00000187021,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000187116,ENSG00000187116,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000187627,ENSG00000187627,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000196177,ENSG00000196177,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000196862,ENSG00000196862,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000197165,ENSG00000197165,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000197208,ENSG00000197208,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000197444,ENSG00000197444,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000197580,ENSG00000197580,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000197953,ENSG00000197953,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000198131,ENSG00000198131,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000198569,ENSG00000198569,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000198851,ENSG00000198851,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000204290,ENSG00000204290,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000211801,ENSG00000211801,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000229571,ENSG00000229571,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000232119,ENSG00000232119,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000243207,ENSG00000243207,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000256188,ENSG00000256188,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000256394,ENSG00000256394,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000261052,ENSG00000261052,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000275688,ENSG00000275688,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000275718,ENSG00000275718,resources/sample_labels/clicking_labels.csv
clicking_ENSG00000286014,ENSG00000286014,resources/sample_labels/clicking_labels.csv
all_clicking_ENSG00000092009,ENSG00000092009,resources/sample_labels/all_clicking_labels.csv
all_clicking_ENSG00000119917,ENSG00000119917,resources/sample_labels/all_clicking_labels.csv
all_clicking_ENSG00000125903,ENSG00000125903,resources/sample_labels/all_clicking_labels.csv
all_clicking_ENSG00000128617,ENSG00000128617,resources/sample_labels/all_clicking_labels.csv
all_clicking_ENSG00000133619,ENSG00000133619,resources/sample_labels/all_clicking_labels.csv
all_clicking_ENSG00000136839,ENSG00000136839,resources/sample_labels/all_clicking_labels.csv
